GENE	CHR	START	END
DHX36	3	154272545	154324487
GPR149	3	154334942	154430190
AC092994.1	3	154511534	154539309
AC073359.2	3	154827015	154861017
AC073359.1	3	154969282	154970223
MME	3	155024123	155183729
MME-AS1	3	155158369	155183285
LINC01487	3	155240918	155258766
STRIT1	3	155290226	155293683
AC104831.1	3	155291187	155294176
PLCH1	3	155375579	155745067
PLCH1-AS1	3	155449183	155457753
PLCH1-AS2	3	155485802	155487121
AC104472.1	3	155742141	155743726
C3orf33	3	155762616	155806278
SLC33A1	3	155821023	155854456
AC104472.4	3	155854751	155863191
GMPS	3	155870649	155944020
AC104472.5	3	155886614	155890729
KCNAB1	3	156037700	156539138
AC091607.2	3	156143569	156540627
KCNAB1-AS2	3	156215559	156227883
KCNAB1-AS1	3	156441156	156446905
AC084036.1	3	156523739	156524247
SSR3	3	156540139	156555184
TIPARP-AS1	3	156671861	156674446
TIPARP	3	156673234	156706770
LINC00886	3	156747342	156817062
LEKR1	3	156825480	157046129
LINC00880	3	157081666	157128595
LINC02029	3	157081737	157088547
LINC00881	3	157089633	157135557
CCNL1	3	157146507	157160760
AC104411.1	3	157163451	157169133
AC092944.1	3	157174200	157381265
AC092944.3	3	157234579	157235149
VEPH1	3	157259741	157533619
PTX3	3	157436849	157443633
SLC66A1L	3	157543245	157677749
AC084212.1	3	157579693	157587495
AC079943.2	3	157814821	158088997
AC079943.1	3	157976560	157978136
SHOX2	3	158095953	158106503
RSRC1	3	158105854	158545730
AC106707.1	3	158545188	158571066
MLF1	3	158571162	158607252
GFM1	3	158644277	158692575
LXN	3	158645821	158672648
AC080013.4	3	158693119	158693768
AC080013.6	3	158695366	158695581
RARRES1	3	158696891	158732489
MFSD1	3	158732197	158829719
AC080013.1	3	158732262	158784070
AC080013.3	3	158782546	158783124
AC080013.5	3	158801256	158801935
IQCJ-SCHIP1	3	158962234	159897366
IQCJ	3	158962927	159266307
AC092943.2	3	159711851	159731646
IQCJ-SCHIP1-AS1	3	159765386	159768612
SCHIP1	3	159839860	159897360
IL12A-AS1	3	159902044	160225299
IL12A	3	159988834	159996019
LINC01100	3	160016023	160031423
C3orf80	3	160225495	160228213
IFT80	3	160256985	160399880
SMC4	3	160399273	160434954
TRIM59	3	160432444	160485773
KPNA4	3	160495006	160565571
ARL14	3	160677159	160678448
AC069224.1	3	160753427	160755142
PPM1L	3	160755601	161078902
B3GALNT1	3	161083882	161105411
NMD3	3	161104695	161253532
SPTSSB	3	161344791	161372880
LINC02067	3	161426426	161448242
AC112491.1	3	161429111	161429613
OTOL1	3	161496807	161503942
AC112770.1	3	161600437	161735399
AC131211.1	3	161816908	161821908
AC128685.1	3	163026395	163232149
LINC01192	3	163109151	163361563
AC079910.1	3	163455567	163479500
LINC01323	3	164670877	164686076
LINC01324	3	164714094	164831480
SI	3	164978897	165078496
LINC02023	3	165150005	165158062
SLITRK3	3	165186719	165197109
LINC01322	3	165206928	165846519
BCHE	3	165772903	165837462
LINC01326	3	166569692	166570763
AC069439.2	3	166835020	166844956
ZBBX	3	167240286	167381346
LINC01327	3	167392795	167408519
SERPINI2	3	167441788	167479004
WDR49	3	167478683	167653983
PDCD10	3	167683297	167734939
SERPINI1	3	167735242	167825568
AC079822.1	3	167794946	167811081
AC026353.1	3	167866499	167950292
GOLIM4	3	168008688	168095924
AC069243.1	3	168094048	168095087
AC124893.1	3	168288552	168291228
LINC02082	3	168902193	168924590
AC092954.1	3	168927474	168927919
AC092954.2	3	168928168	168928598
LINC01997	3	169003021	169038416
MECOM	3	169083498	169663775
AC074033.1	3	169447866	169477052
AC007849.1	3	169613509	169623951
TERC	3	169764519	169765060
ACTRT3	3	169766920	169769561
AC078802.1	3	169769648	169772043
MYNN	3	169772830	169789716
AC078795.1	3	169777191	169780334
LRRC34	3	169793427	169812986
AC078795.3	3	169793494	169793966
AC078795.2	3	169794961	169796213
LRRIQ4	3	169821921	169837775
LRRC31	3	169839171	169869935
SAMD7	3	169911571	169939175
AC008040.1	3	169939352	169966734
SEC62	3	169966634	169998373
SEC62-AS1	3	169978535	169985715
GPR160	3	170037994	170085392
PHC3	3	170086731	170181749
PRKCI	3	170222423	170305977
AC073288.1	3	170345677	170353961
SKIL	3	170357677	170396835
AC073288.2	3	170410511	170418615
CLDN11	3	170418864	170454733
SLC7A14-AS1	3	170448638	170860993
SLC7A14	3	170459547	170586075
AC026316.3	3	170656561	170662123
AC026316.5	3	170691996	170736061
AC026316.2	3	170740350	170741365
RPL22L1	3	170864874	170870208
EIF5A2	3	170888417	170908644
AC061708.1	3	170908856	171054973
SLC2A2	3	170996346	171026743
TNIK	3	171058413	171460408
AC092919.1	3	171459247	171469702
PLD1	3	171600403	171810950
TMEM212-AS1	3	171815585	171900749
TMEM212	3	171843348	171938715
TMEM212-IT1	3	171894435	171895240
AC055714.1	3	171941606	171996871
FNDC3B	3	172039577	172401669
GHSR	3	172443290	172448456
TNFSF10	3	172505507	172523475
LINC02068	3	172560887	172595607
NCEH1	3	172630248	172711218
AC108667.2	3	172711150	172725038
ECT2	3	172750681	172821474
SPATA16	3	172889356	173141235
AC068759.1	3	173153736	173336965
NLGN1	3	173396283	174286644
NLGN1-AS1	3	173910497	173920796
NAALADL2	3	174438572	175810548
NAALADL2-AS3	3	175079306	175115242
NAALADL2-AS2	3	175234860	175271096
AC008180.2	3	175473918	175477602
NAALADL2-AS1	3	175773144	175776333
AC104640.1	3	175938928	175941037
LINC01208	3	176415438	176867838
LINC01209	3	176814154	176817001
TBL1XR1	3	177019339	177228000
TBL1XR1-AS1	3	177037404	177047923
LINC00501	3	177294441	177323418
AC117465.1	3	177337627	177349166
LINC00578	3	177441909	177767379
AC026355.3	3	177621381	177628287
AC026355.2	3	177683626	177691250
LINC02015	3	177816864	177899224
AC007953.1	3	177930757	177940299
AC007953.2	3	177952326	177959817
AC110992.1	3	178028129	178172449
AC117453.1	3	178164007	178385479
KCNMB2	3	178272931	178844429
LINC01014	3	178419200	178457309
KCNMB2-AS1	3	178526504	178937352
ZMAT3	3	178960120	179072215
AC076966.2	3	179101365	179147973
PIK3CA	3	179148113	179240093
KCNMB3	3	179236690	179267002
ZNF639	3	179323030	179338583
AC007823.1	3	179340321	179341887
MFN1	3	179347708	179394936
GNB4	3	179396087	179451476
AC007620.2	3	179396960	179399191
AC007620.3	3	179405447	179405944
ACTL6A	3	179562885	179588407
AC090425.3	3	179583261	179583762
AC090425.2	3	179584270	179584410
MRPL47	3	179588284	179604649
NDUFB5	3	179604689	179627647
USP13	3	179653039	179789401
PEX5L	3	179794957	180037053
AC007687.1	3	179804062	179804366
PEX5L-AS1	3	179875375	179881609
PEX5L-AS2	3	179898198	179921895
AC092939.1	3	179971493	180017083
LINC02053	3	180413007	180476778
AC125618.1	3	180566717	180601935
TTC14	3	180602162	180617828
CCDC39	3	180602857	180684942
CCDC39-AS1	3	180680083	180700449
AC108734.4	3	180707588	180871005
FXR1	3	180868140	180982753
DNAJC19	3	180983708	180989774
SOX2-OT	3	180989761	181836880
AC068308.1	3	181372731	181442597
AC125613.1	3	181534176	181700611
SOX2	3	181711924	181714436
LINC01206	3	181952342	182035644
AC012081.2	3	182049057	182052270
AC012081.1	3	182121883	182142137
AC109131.1	3	182149429	182158313
AC084211.1	3	182365146	182368256
LINC01994	3	182446969	182486364
LINC01995	3	182498186	182536772
AC021055.1	3	182588092	182617810
LINC02031	3	182644213	182655880
AC083801.2	3	182739668	182740848
AC069431.1	3	182783235	182793394
ATP11B	3	182793502	182921629
AC092953.2	3	182921239	182921938
DCUN1D1	3	182938073	182985953
MCCC1	3	183015217	183116075
MCCC1-AS1	3	183016254	183017808
LAMP3	3	183122214	183163839
MCF2L2	3	183178042	183428778
B3GNT5	3	183253252	183298504
KLHL6	3	183487550	183555706
KLHL6-AS1	3	183548734	183552326
KLHL24	3	183635609	183684519
YEATS2	3	183697796	183812624
YEATS2-AS1	3	183806456	183810783
MAP6D1	3	183815875	183825594
PARL	3	183829270	183884933
ABCC5	3	183919933	184017939
ABCC5-AS1	3	184006337	184011419
HTR3D	3	184031543	184039369
HTR3C	3	184053046	184060673
HTR3E-AS1	3	184095117	184105178
HTR3E	3	184097063	184106995
AC131235.3	3	184132941	184133561
AC131235.2	3	184134018	184135238
EIF2B5	3	184135037	184146127
DVL3	3	184155376	184173614
AP2M1	3	184174688	184184091
ABCF3	3	184186022	184194012
VWA5B2	3	184230428	184242329
ALG3	3	184242300	184249548
EEF1AKMT4	3	184249649	184259585
CAMK2N2	3	184259212	184261553
ECE2	3	184276010	184293031
PSMD2	3	184299197	184309050
EIF4G1	3	184314494	184335358
FAM131A	3	184335925	184348421
CLCN2	3	184346184	184361650
POLR2H	3	184361717	184368596
THPO	3	184371934	184381968
CHRD	3	184380072	184390736
LINC02054	3	184399789	184457891
LINC01839	3	184505112	184508399
LINC01840	3	184546713	184556918
EPHB3	3	184561784	184582408
MAGEF1	3	184710363	184712064
AC107294.2	3	184712244	184780720
LINC02069	3	184725012	184773178
AC107294.3	3	184741936	184742462
AC107294.1	3	184742817	184743284
VPS8	3	184812142	185052614
C3orf70	3	185076837	185153060
EHHADH-AS1	3	185162870	185191955
EHHADH	3	185190623	185281990
MAP3K13	3	185282940	185489094
TMEM41A	3	185476495	185499057
AC099661.1	3	185499139	185501109
LIPH	3	185506261	185552588
SENP2	3	185582495	185633551
IGF2BP2	3	185643738	185825056
IGF2BP2-AS1	3	185712527	185729787
TRA2B	3	185914557	185938103
ETV5	3	186046313	186110318
ETV5-AS1	3	186079169	186080947
DGKG	3	186105667	186362234
LINC02020	3	186439238	186457299
LINC02052	3	186454968	186493661
LINC02051	3	186476726	186478370
CRYGS	3	186538440	186546702
TBCCD1	3	186546066	186570543
DNAJB11	3	186567402	186585800
AC068631.1	3	186579475	186772986
AHSG	3	186613059	186621318
FETUB	3	186635968	186653141
HRG	3	186660215	186678240
KNG1	3	186717347	186744410
AC112907.3	3	186781779	186784179
EIF4A2	3	186783204	186789897
RFC4	3	186789879	186807058
AC112907.1	3	186807691	186818121
LINC02043	3	186810879	186825521
ADIPOQ	3	186842703	186858463
ADIPOQ-AS1	3	186851885	186856123
ST6GAL1	3	186930501	187078553
RPL39L	3	187120947	187180908
AC007920.1	3	187197089	187207629
RTP1	3	187197485	187201462
MASP1	3	187217284	187292022
AC007920.2	3	187291271	187297933
RTP4	3	187368384	187372076
LINC02041	3	187448844	187449450
SST	3	187668911	187670394
RTP2	3	187698258	187702557
AC072022.1	3	187702312	187733849
BCL6	3	187721376	187745725
AC072022.2	3	187743685	187746028
AC108681.1	3	187796186	187805258
AC068295.1	3	187932763	187946221
LINC01991	3	187958774	187976407
AC092941.1	3	187997421	188003990
AC092941.2	3	188001699	188003406
AC022498.1	3	188107071	188147310
LPP-AS2	3	188151205	188154057
LPP	3	188153283	188890671
LPP-AS1	3	188562237	188568666
TPRG1-AS1	3	188941714	188947639
TPRG1	3	188947213	189325304
TPRG1-AS2	3	189238685	189240594
TP63	3	189631388	189897276
P3H2	3	189956727	190122437
P3H2-AS1	3	190120963	190145107
CLDN1	3	190305706	190322446
CLDN16	3	190322540	190412143
TMEM207	3	190428654	190449876
IL1RAP	3	190514050	190659750
AC108747.1	3	190659215	190659750
LINC02013	3	190680420	190699314
GMNC	3	190852736	190892429
OSTN	3	191199240	191265615
OSTN-AS1	3	191213290	191234605
UTS2B	3	191267167	191330536
CCDC50	3	191329084	191398659
AC073365.1	3	191425492	191591097
PYDC2	3	191461162	191461456
AC026320.1	3	192029879	192036557
AC026320.3	3	192078949	192119864
FGF12	3	192139394	192767764
FGF12-AS1	3	192238036	192283097
FGF12-AS2	3	192515021	192516573
FGF12-AS3	3	192516830	192521398
MB21D2	3	192796814	192917856
AC092966.1	3	193144463	193176864
PLAAT1	3	193241127	193277738
ATP13A5	3	193274788	193378820
ATP13A5-AS1	3	193307243	193314362
ATP13A4	3	193398966	193593111
ATP13A4-AS1	3	193553212	193555088
OPA1	3	193593143	193697811
OPA1-AS1	3	193618608	193627337
AC069421.2	3	193770542	193772424
AC069421.3	3	193771873	193782758
LINC02038	3	193842559	193844024
LINC02026	3	193957371	194003760
AC024559.1	3	193980613	194006098
LINC02028	3	194005258	194071025
AC024559.2	3	194070102	194086826
AC080129.1	3	194091560	194109174
AC080129.2	3	194130615	194131201
HES1	3	194136147	194138732
LINC02036	3	194202391	194250203
LINC02037	3	194247637	194260720
LINC02048	3	194276681	194287368
LINC00887	3	194296190	194322871
AC117469.1	3	194300328	194302048
CPN2	3	194339767	194351328
LRRC15	3	194355246	194369743
GP5	3	194394820	194398354
ATP13A3	3	194402671	194498364
LINC00884	3	194487139	194521156
AC108676.1	3	194496316	194501503
TMEM44-AS1	3	194584003	194590260
TMEM44	3	194587672	194633689
AC046143.1	3	194632922	194645401
AC046143.2	3	194637504	194637664
LSG1	3	194640790	194672463
FAM43A	3	194685882	194689037
AC106706.1	3	194702666	194727675
AC106706.2	3	194708009	194709395
LINC01968	3	194708092	194826008
LINC01972	3	194765237	194768712
AC090505.2	3	194827889	194832592
XXYLT1	3	195068283	195271159
XXYLT1-AS1	3	195094587	195096057
XXYLT1-AS2	3	195147870	195152790
AC090018.2	3	195260631	195263628
ACAP2	3	195274744	195443044
ACAP2-IT1	3	195280722	195282741
PPP1R2	3	195514427	195543386
AC069213.1	3	195544047	195550581
APOD	3	195568704	195584033
AC233280.1	3	195655564	195657927
MUC20	3	195720883	195741123
MUC4	3	195746764	195811973
LINC01983	3	195836192	195860404
TNK2	3	195863363	195911945
AC124944.3	3	195900985	195903417
TNK2-AS1	3	195908075	195913986
AC024937.3	3	195996261	196027694
TFRC	3	196027182	196082096
LINC00885	3	196142524	196160893
ZDHHC19	3	196197451	196211437
SLC51A	3	196211486	196243178
PCYT1A	3	196214221	196287957
AC069257.1	3	196250541	196251654
TCTEX1D2	3	196291218	196318299
TM4SF19-AS1	3	196318329	196325570
TM4SF19	3	196319341	196338503
UBXN7	3	196347661	196432430
UBXN7-AS1	3	196431384	196432530
RNF168	3	196468782	196503768
AC117490.2	3	196474800	196475394
SMCO1	3	196506878	196515346
WDR53	3	196554176	196568674
FBXO45	3	196568610	196589059
AC092933.2	3	196598548	196609410
LINC01063	3	196631497	196632587
NRROS	3	196639693	196662004
PIGX	3	196639774	196736007
CEP19	3	196706276	196712250
PAK2	3	196739856	196832647
SENP5	3	196867855	196934714
AC016949.1	3	196912645	196914579
NCBP2	3	196935401	196942594
NCBP2-AS1	3	196939876	196942534
NCBP2AS2	3	196942673	196943543
PIGZ	3	196946355	196969060
AC011322.1	3	196973708	196979197
MELTF	3	196988620	197029817
MELTF-AS1	3	196999459	197004744
DLG1	3	197042559	197299330
DLG1-AS1	3	197298251	197303755
AL121981.1	3	197333943	197340706
AC128709.2	3	197445060	197458323
AC128709.1	3	197450326	197456654
AC128709.3	3	197458404	197467105
LINC02012	3	197505261	197506986
BDH1	3	197509782	197573323
AC024560.3	3	197645668	197646017
AC024560.4	3	197649302	197651482
AC024560.1	3	197660564	197665757
AC024560.5	3	197665315	197674863
RUBCN	3	197668866	197749727
FYTTD1	3	197737178	197787596
AC055764.2	3	197789699	197790369
LRCH3	3	197791225	197888436
AC055764.1	3	197830684	197831296
IQCG	3	197889076	197960142
RPL35A	3	197950189	197956610
LMLN	3	197960199	198043720
AC135893.1	3	198027955	198035970
LMLN-AS1	3	198038320	198039234
ZNF595	4	53285	88208
ZNF718	4	124500	202303
AC253576.2	4	149737	150317
ZNF732	4	270674	305474
AC079140.6	4	307334	337433
ZNF141	4	337813	384868
AC092574.2	4	386173	454070
AC092574.1	4	416117	416537
ZNF721	4	425814	499156
PIGG	4	499209	540200
TMEM271	4	573879	576300
AC116565.1	4	577167	618076
PDE6B	4	625583	670782
AC107464.1	4	652849	656213
AC107464.3	4	661208	661945
ATP5ME	4	672435	674330
MYL5	4	673579	682033
SLC49A3	4	681828	689441
PCGF3	4	705747	770640
AC107464.2	4	722274	724034
AC139887.4	4	757021	757740
AC139887.2	4	760201	781859
AC139887.1	4	764486	765074
CPLX1	4	784956	826129
AC139887.3	4	836511	837224
AC139887.5	4	843962	846294
GAK	4	849275	932373
TMEM175	4	932386	958656
DGKQ	4	958886	986895
SLC26A1	4	979072	993440
IDUA	4	986996	1004564
FGFRL1	4	1009935	1026898
AC019103.1	4	1027677	1028972
RNF212	4	1056249	1113564
AC092535.4	4	1113638	1132977
AC092535.2	4	1151371	1153701
SPON2	4	1166931	1208962
AC092535.5	4	1167777	1168174
CTBP1-AS	4	1210119	1218591
CTBP1	4	1211447	1249953
CTBP1-DT	4	1249299	1288291
MAEA	4	1289886	1340147
UVSSA	4	1347207	1388049
AC078852.2	4	1356580	1358075
AC078852.1	4	1358478	1359461
CRIPAK	4	1391551	1395992
NKX1-1	4	1402931	1406331
AC147067.2	4	1550283	1550572
AC147067.1	4	1574061	1580253
FAM53A	4	1617914	1684302
SLBP	4	1692730	1712344
AC016773.1	4	1712820	1715945
TACC3	4	1712890	1745176
TMEM129	4	1715951	1721358
FGFR3	4	1793292	1808872
LETM1	4	1811478	1856156
NSD2	4	1871392	1982207
NELFA	4	1982716	2041903
C4orf48	4	2041992	2043970
NAT8L	4	2059511	2069089
POLN	4	2071917	2242121
HAUS3	4	2078997	2242276
AL136360.2	4	2139672	2141058
MXD4	4	2247431	2262109
ZFYVE28	4	2269581	2418663
AL158068.2	4	2295583	2319089
CFAP99	4	2418973	2462942
RNF4	4	2462219	2625320
AL645924.1	4	2463796	2464124
FAM193A	4	2536630	2732565
TNIP2	4	2741647	2756342
SH3BP2	4	2793070	2841098
ADD1	4	2843856	2930076
AL121750.1	4	2859982	2862673
MFSD10	4	2930560	2934834
NOP14-AS1	4	2934881	2961738
NOP14	4	2937932	2963406
GRK4	4	2963570	3040760
HTT	4	3041421	3243960
HTT-AS	4	3049093	3074538
MSANTD1	4	3244368	3271738
RGS12	4	3293027	3439913
HGFAC	4	3441886	3449495
AL590235.2	4	3450637	3453108
DOK7	4	3463305	3501473
LRPAP1	4	3503611	3532446
AL590235.1	4	3544554	3548796
LINC00955	4	3576868	3590711
AL121796.1	4	3633028	3633975
LINC02171	4	3673592	3677855
LINC02600	4	3758747	3763390
ADRA2C	4	3766347	3768526
OTOP1	4	4188802	4226889
TMEM128	4	4235541	4248223
LYAR	4	4267700	4290154
ZBTB49	4	4290250	4321786
AC105415.1	4	4321961	4334182
NSG1	4	4348139	4419058
STX18	4	4415741	4542346
STX18-IT1	4	4476120	4481700
STX18-AS1	4	4542130	4787359
LINC01396	4	4844187	4850827
MSX1	4	4859664	4863936
CYTL1	4	5014585	5019458
STK32B	4	5051479	5500994
LINC01587	4	5524568	5527801
EVC2	4	5542771	5709548
EVC	4	5711200	5814305
CRMP1	4	5748083	5893086
C4orf50	4	5897372	6200555
JAKMIP1	4	6026198	6200591
AC092442.1	4	6064976	6070162
AC113615.2	4	6178185	6184925
AC113615.1	4	6202327	6206649
WFS1	4	6269848	6303265
AC116317.1	4	6292368	6308636
PPP2R2C	4	6320577	6563600
MAN2B2	4	6575188	6623362
MRFAP1	4	6640090	6642745
LINC02482	4	6648694	6673965
AC093323.1	4	6663395	6676755
LINC002481	4	6687447	6690519
S100P	4	6693877	6697170
MRFAP1L1	4	6707700	6709865
BLOC1S4	4	6716173	6717664
AC106045.1	4	6763507	6767660
KIAA0232	4	6781374	6884170
TBC1D14	4	6909241	7033118
AC097382.3	4	6985925	6987036
AC097382.1	4	6995340	6998958
AC097382.2	4	7030553	7046231
CCDC96	4	7040848	7043001
TADA2B	4	7041898	7057952
GRPEL1	4	7058894	7068064
LINC02447	4	7093775	7103394
SORCS2	4	7192537	7742836
PSAPL1	4	7430284	7434930
AFAP1-AS1	4	7754089	7778928
AFAP1	4	7758713	7939926
AC112254.1	4	7798526	7808051
AC097381.1	4	7939000	7940296
ABLIM2	4	7965309	8158832
AC097381.3	4	8022664	8023126
AC097381.2	4	8066527	8067724
SH3TC1	4	8182071	8241803
HTRA3	4	8269753	8307098
LINC02517	4	8320104	8327165
AC104825.1	4	8355089	8358338
ACOX3	4	8366281	8440723
TRMT44	4	8436139	8493531
AC105345.2	4	8453409	8454942
AC105345.1	4	8482269	8516759
GPR78	4	8558724	8619761
CPZ	4	8592659	8619759
AC209005.1	4	8745390	8747727
HMX1	4	8846075	8871839
AC116612.1	4	8858714	8860827
AC108519.1	4	9034518	9381269
AC073648.7	4	9076948	9092530
FAM90A26	4	9170408	9176730
USP17L10	4	9210656	9212608
USP17L11	4	9215404	9217356
USP17L12	4	9220151	9221744
USP17L13	4	9224895	9226847
USP17L15	4	9234384	9236334
USP17L17	4	9243878	9245830
USP17L18	4	9248629	9250581
USP17L19	4	9253377	9255329
USP17L20	4	9258123	9260075
USP17L21	4	9262871	9264823
USP17L22	4	9267618	9269570
USP17L23	4	9272363	9272914
USP17L24	4	9325164	9327116
USP17L25	4	9329910	9331862
USP17L26	4	9334657	9336609
USP17L5	4	9339402	9340995
USP17L27	4	9344147	9345740
USP17L28	4	9348892	9350485
USP17L29	4	9353637	9355230
USP17L30	4	9363128	9364721
DEFB131A	4	9444533	9450514
AC105916.1	4	9567473	9691786
SLC2A9	4	9771152	10054936
DRD5	4	9781633	9784009
AC108199.1	4	9922813	9924146
AC005674.1	4	10006481	10009725
AC005674.2	4	10068088	10073019
WDR1	4	10074338	10116949
ZNF518B	4	10439879	10457426
AC005599.1	4	10456744	10531022
CLNK	4	10486394	10684768
AC084048.1	4	10685002	10697661
LINC02498	4	10737557	10749586
HS3ST1	4	11393149	11429564
AC006230.1	4	11426873	11467802
AC025539.1	4	11469249	11478196
AC005699.1	4	11625713	11823906
LINC02360	4	11740947	11769468
AC108037.1	4	11914666	11919688
LINC02270	4	12223444	12251286
AC007370.2	4	12859100	12864961
AC007370.1	4	12947573	12948670
RAB28	4	13361353	13484365
AC006445.3	4	13491184	13516498
LINC01097	4	13526318	13534335
NKX3-2	4	13540829	13544508
LINC01096	4	13546074	13547801
BOD1L1	4	13568737	13627725
LINC01182	4	13654373	14003756
AC007126.1	4	13777376	13782157
AC073848.1	4	14134935	14143592
AC092546.1	4	14164454	14242813
AC006296.3	4	14359399	14453625
AC006296.2	4	14383122	14409078
AC006296.1	4	14390438	14393992
LINC00504	4	14470464	14888169
CPEB2-DT	4	14909960	15002045
CPEB2	4	15002673	15070153
AC098829.1	4	15004941	15427914
C1QTNF7	4	15339817	15446166
AC099550.1	4	15358140	15420032
CC2D2A	4	15469864	15601557
AC116651.1	4	15563697	15564253
FBXL5	4	15604380	15681679
FAM200B	4	15681661	15705565
BST1	4	15703064	15738313
CD38	4	15778274	15853232
FGFBP1	4	15935576	15938740
FGFBP2	4	15960244	15969309
PROM1	4	15963075	16084378
AC108063.2	4	16114232	16117479
TAPT1	4	16160504	16227410
AC108063.1	4	16178938	16183120
TAPT1-AS1	4	16226684	16320140
AC006427.2	4	16322953	16326967
AC097515.1	4	16400429	16512187
LDB2	4	16501540	16898678
AC104656.1	4	16598717	16604593
AC106894.1	4	16973274	17073903
LINC02493	4	17171756	17186079
QDPR	4	17460260	17512206
CLRN2	4	17515164	17527104
LAP3	4	17577191	17607972
AC006160.1	4	17586266	17614585
MED28	4	17614640	17634105
FAM184B	4	17629305	17781621
DCAF16	4	17800654	17810758
NCAPG	4	17810978	17844865
LCORL	4	17841198	18021876
AC093898.1	4	18418661	18888662
AC093871.1	4	18488061	18489508
LINC02438	4	19172334	19456994
AC024230.1	4	19455417	19938448
AC110767.1	4	19747178	19754591
SLIT2	4	20251904	20620561
SLIT2-IT1	4	20392153	20394856
PACRGL	4	20696281	20752907
KCNIP4	4	20728605	21948772
AC097505.1	4	20766807	20767372
AC110296.1	4	21304467	21350673
AC096576.6	4	21520853	21523709
AC096576.3	4	21582095	21613728
AC096576.2	4	21697449	21719026
KCNIP4-IT1	4	21843340	21853188
AC096719.1	4	21949014	22330330
ADGRA3	4	22345070	22516066
AC097512.1	4	22989146	23193740
AC092440.1	4	23234624	23285573
AC093607.1	4	23560922	23768652
ERVH-1	4	23723261	23733579
PPARGC1A	4	23755040	23904089
AC092834.1	4	23779589	23782560
DHX15	4	24517440	24584554
LINC02473	4	24659855	24671568
SOD3	4	24789911	24800842
CCDC149	4	24806116	24980204
LGI2	4	24998846	25030946
SEPSECS	4	25120013	25160449
SEPSECS-AS1	4	25160640	25201440
PI4K2B	4	25160662	25279204
AC104662.1	4	25220402	25220913
ZCCHC4	4	25312773	25370383
ANAPC4	4	25377212	25418498
AC105290.1	4	25529176	25619468
SLC34A2	4	25648010	25678748
SEL1L3	4	25747432	25863760
AC092436.3	4	25770265	25773577
SMIM20	4	25861829	25929874
AC133961.1	4	25864880	25869550
LINC02357	4	26070753	26104258
RBPJ	4	26163454	26435131
CCKAR	4	26481395	26490484
TBC1D19	4	26576436	26756223
STIM2	4	26857600	27025381
STIM2-AS1	4	26859805	26860632
AC024132.2	4	27133995	27140051
AC024132.1	4	27207504	27218404
LINC02261	4	27217478	27282225
AC024132.3	4	27262505	27267254
AC007106.2	4	27917752	27943065
AC007106.1	4	27964516	27985063
AC093791.2	4	28225968	28288297
AC093791.1	4	28343861	28402936
AC097480.1	4	28435448	28600275
AC097480.2	4	28580990	28600845
LINC02364	4	28996497	29017256
AC068944.1	4	29046590	29048765
AC109349.1	4	29118303	29211696
LINC02472	4	29214252	29291869
AC098595.1	4	30718804	30721970
PCDH7	4	30720414	31146805
AC097716.1	4	30776256	30793970
LINC02497	4	31171012	31211678
AC104071.1	4	31350283	31351725
LINC02501	4	31506421	31558831
LINC02506	4	31997375	32228543
AC097654.1	4	32005075	32022483
LINC02353	4	32351037	32353220
AC116611.1	4	32583854	32745525
AC093606.1	4	33150325	33208430
AC097535.1	4	33433509	33437877
AC079772.1	4	33467397	33693993
AC016687.3	4	33775497	34039914
AC016687.2	4	33850590	33982349
LINC02484	4	34120089	34335351
AC110790.1	4	34140597	34180729
AC093689.1	4	34657605	34669432
ARAP2	4	35948220	36244514
AC104078.1	4	36244115	36274220
DTHD1	4	36281621	36345756
AC104078.2	4	36311189	36392410
LINC02505	4	36496127	36641939
AC093746.1	4	36902241	36913339
LINC02616	4	37001771	37023499
AL136537.1	4	37073680	37133849
NWD2	4	37244742	37449463
C4orf19	4	37453924	37623495
AC022463.1	4	37454697	37476401
AC027607.1	4	37588086	37588875
RELL1	4	37590799	37686376
PGM2	4	37826659	37862937
TBC1D1	4	37891083	38139175
PTTG2	4	37960397	37961128
AC098680.2	4	38276177	38279880
AC098680.1	4	38286993	38287491
LINC02513	4	38366913	38385759
LINC01258	4	38420661	38523180
LINC01259	4	38509766	38518056
LINC02278	4	38564002	38572022
KLF3-AS1	4	38602437	38664914
AC021860.1	4	38618264	38619437
KLF3	4	38664196	38701517
TLR10	4	38772237	38782990
TLR1	4	38790676	38856817
TLR6	4	38823714	38856817
FAM114A1	4	38867676	38945739
TMEM156	4	38966743	39032922
KLHL5	4	39045038	39126857
AC079921.1	4	39066973	39182258
AC079921.2	4	39133912	39135608
WDR19	4	39182503	39285810
RFC1	4	39287455	39366375
KLB	4	39406929	39451533
RPL9	4	39452520	39458949
LIAS	4	39459003	39485109
UGDH	4	39498754	39528311
UGDH-AS1	4	39528018	39594707
AC021148.2	4	39539394	39546073
SMIM14	4	39546335	39638902
AC108471.3	4	39614464	39618488
AC108471.2	4	39639106	39666879
UBE2K	4	39698108	39782792
PDS5A	4	39822862	39977956
N4BP2	4	40056849	40158252
AC095057.3	4	40166674	40167831
AC095057.4	4	40187169	40190464
RHOH	4	40191052	40246967
AC095057.2	4	40265471	40266457
LINC02265	4	40316484	40330419
CHRNA9	4	40335332	40355217
RBM47	4	40423266	40630875
AC098869.2	4	40426118	40427585
AC131953.2	4	40743626	40750865
